city,high,low,measurement,midnight,pollutant,site,year
London,44.08215633972299,32.840860672,µg/m3,41.48807534638655,NO2,Station_GB0566A,2016.0
London,24.627630918876083,20.315768907879658,µg/m3,25.338473119426936,NO2,Station_GB0608A,2017.0
London,31.541669747430937,27.941059859068492,µg/m3,36.35246343016483,NO2,Station_GB0620A,2017.0
London,54.663599885414364,40.1543529356044,µg/m3,49.002634360690614,NO2,Station_GB0624A,2017.0
London,42.051052242383555,34.17496204794872,µg/m3,42.26095639747253,NO2,Station_GB0637A,2017.0
London,66.08006179221557,33.24796265307462,µg/m3,45.864063130059705,NO2,Station_GB0636A,2017.0
London,19.94864859510989,16.427731963879783,µg/m3,19.35691244151099,NO2,Station_GB0586A,2017.0
London,57.96294233746556,38.6526514838292,µg/m3,47.45830476044321,NO2,Station_GB0642A,2017.0
London,109.82813835783332,50.370566094560445,µg/m3,71.30006444353592,NO2,Station_GB0682A,2017.0
London,38.4682961272459,28.18260519460265,µg/m3,35.100229733289474,NO2,Station_GB0743A,2017.0
London,46.236756521355936,28.61331851162465,µg/m3,39.41580022132394,NO2,Station_GB1012A,2017.0
London,23.866233311342462,20.314695612547943,µg/m3,27.445850216318682,NO2,Station_GB1024A,2017.0
London,41.06811509296399,29.42207664468144,µg/m3,39.15157644069445,NO2,Station_GB0566A,2017.0
London,21.77388129110193,19.59760027201102,µg/m3,24.100807084945057,NO2,Station_GB0608A,2018.0
London,27.802618638919668,25.373200957637366,µg/m3,32.18508046326924,NO2,Station_GB0620A,2018.0
London,54.139785450000005,39.952932007082154,µg/m3,48.072096586647724,NO2,Station_GB0624A,2018.0
London,42.320106571041094,31.07086624257535,µg/m3,40.18645057142466,NO2,Station_GB0637A,2018.0
London,67.32702256714286,33.617606053457145,µg/m3,45.43972590548296,NO2,Station_GB0636A,2018.0
London,15.803632516958906,15.417628060645159,µg/m3,16.802454982547946,NO2,Station_GB0586A,2018.0
London,48.48583517154971,35.7518496151145,µg/m3,44.06909407781342,NO2,Station_GB0642A,2018.0
London,108.97129688536111,57.35773434454293,µg/m3,76.78412994074793,NO2,Station_GB0682A,2018.0
London,33.29037731997183,26.143729513380677,µg/m3,30.574790614269663,NO2,Station_GB0743A,2018.0
London,43.291436855128204,27.83081178536741,µg/m3,36.686393361762825,NO2,Station_GB1012A,2018.0
London,21.329714941620878,19.144738525555557,µg/m3,24.916651092109586,NO2,Station_GB1024A,2018.0
London,38.683422565524864,28.397431027214484,µg/m3,36.92134027304709,NO2,Station_GB0566A,2018.0
Greater%20Manchester,16.385714282857144,16.969090905939396,µg/m3,18.632326280755287,PM10,Station_GB0660A,2016.0
Greater%20Manchester,15.562280698128655,14.03265895632948,µg/m3,15.708985504202898,PM10,Station_GB1040A,2016.0
Greater%20Manchester,15.18218390454023,15.644886360170455,µg/m3,17.283238632897728,PM10,Station_GB0660A,2017.0
Greater%20Manchester,14.806906903423425,13.76126125774775,µg/m3,15.365165161981981,PM10,Station_GB1040A,2017.0
Greater%20Manchester,15.919506366114648,14.888809520476189,µg/m3,16.071044299620254,PM10,Station_GB0660A,2018.0
Greater%20Manchester,16.261573909971013,15.167822153731779,µg/m3,16.041258717703485,PM10,Station_GB1040A,2018.0
Greater%20Manchester,10.383061885732898,9.096381576250002,µg/m3,10.155555552385621,PM2.5,Station_GB0613A,2016.0
